  SIMD_Optimized | threads=1 | rep=1 | nfreq=65536
  SIMD_Optimized | threads=1 | rep=2 | nfreq=65536
  SIMD_Optimized | threads=1 | rep=3 | nfreq=65536
  SIMD_Optimized | threads=1 | rep=4 | nfreq=65536
  SIMD_Optimized | threads=1 | rep=5 | nfreq=65536
  SIMD_Optimized | threads=2 | rep=1 | nfreq=131072
  SIMD_Optimized | threads=2 | rep=2 | nfreq=131072
  SIMD_Optimized | threads=2 | rep=3 | nfreq=131072
  SIMD_Optimized | threads=2 | rep=4 | nfreq=131072
  SIMD_Optimized | threads=2 | rep=5 | nfreq=131072
  SIMD_Optimized | threads=4 | rep=1 | nfreq=262144
  SIMD_Optimized | threads=4 | rep=2 | nfreq=262144
  SIMD_Optimized | threads=4 | rep=3 | nfreq=262144
  SIMD_Optimized | threads=4 | rep=4 | nfreq=262144
  SIMD_Optimized | threads=4 | rep=5 | nfreq=262144
  SIMD_Optimized | threads=8 | rep=1 | nfreq=524288
  SIMD_Optimized | threads=8 | rep=2 | nfreq=524288
  SIMD_Optimized | threads=8 | rep=3 | nfreq=524288
  SIMD_Optimized | threads=8 | rep=4 | nfreq=524288
  SIMD_Optimized | threads=8 | rep=5 | nfreq=524288
  SIMD_Optimized | threads=16 | rep=1 | nfreq=1048576
  SIMD_Optimized | threads=16 | rep=2 | nfreq=1048576
  SIMD_Optimized | threads=16 | rep=3 | nfreq=1048576
  SIMD_Optimized | threads=16 | rep=4 | nfreq=1048576
  SIMD_Optimized | threads=16 | rep=5 | nfreq=1048576
  SIMD_Optimized | threads=32 | rep=1 | nfreq=2097152
  SIMD_Optimized | threads=32 | rep=2 | nfreq=2097152
  SIMD_Optimized | threads=32 | rep=3 | nfreq=2097152
  SIMD_Optimized | threads=32 | rep=4 | nfreq=2097152
  SIMD_Optimized | threads=32 | rep=5 | nfreq=2097152
  SIMD_Optimized | threads=64 | rep=1 | nfreq=4194304
  SIMD_Optimized | threads=64 | rep=2 | nfreq=4194304
  SIMD_Optimized | threads=64 | rep=3 | nfreq=4194304
  SIMD_Optimized | threads=64 | rep=4 | nfreq=4194304
  SIMD_Optimized | threads=64 | rep=5 | nfreq=4194304
Starting tests for strategy5 (Advanced_Scheduling)
  Advanced_Scheduling | threads=1 | rep=1 | nfreq=65536
  Advanced_Scheduling | threads=1 | rep=2 | nfreq=65536
  Advanced_Scheduling | threads=1 | rep=3 | nfreq=65536
  Advanced_Scheduling | threads=1 | rep=4 | nfreq=65536
  Advanced_Scheduling | threads=1 | rep=5 | nfreq=65536
  Advanced_Scheduling | threads=2 | rep=1 | nfreq=131072
  Advanced_Scheduling | threads=2 | rep=2 | nfreq=131072
  Advanced_Scheduling | threads=2 | rep=3 | nfreq=131072
  Advanced_Scheduling | threads=2 | rep=4 | nfreq=131072
  Advanced_Scheduling | threads=2 | rep=5 | nfreq=131072
  Advanced_Scheduling | threads=4 | rep=1 | nfreq=262144
  Advanced_Scheduling | threads=4 | rep=2 | nfreq=262144
  Advanced_Scheduling | threads=4 | rep=3 | nfreq=262144
  Advanced_Scheduling | threads=4 | rep=4 | nfreq=262144
  Advanced_Scheduling | threads=4 | rep=5 | nfreq=262144
  Advanced_Scheduling | threads=8 | rep=1 | nfreq=524288
  Advanced_Scheduling | threads=8 | rep=2 | nfreq=524288
