1,Multiple_Regions,1,65536,1.182,23.2912755963296,1.00
1,Multiple_Regions,2,131072,1.326,23.2912756004623,0.891
1,Multiple_Regions,4,262144,1.621,23.2912758884722,0.729
1,Multiple_Regions,8,524288,2.223,23.2912758885992,0.532
1,Multiple_Regions,16,1048576,3.479,23.2912759618112,0.340
1,Multiple_Regions,32,2097152,6.133,23.2912759983829,0.193
1,Multiple_Regions,64,4194304,11.65,23.2912760166627,0.101
2,Fewer_Regions,1,65536,1.183,23.2912755963296,1.00
2,Fewer_Regions,2,131072,1.326,23.2912756004623,0.892
2,Fewer_Regions,4,262144,1.623,23.2912758884722,0.729
2,Fewer_Regions,8,524288,2.227,23.2912758885992,0.531
2,Fewer_Regions,16,1048576,3.48,23.2912759618112,0.340
2,Fewer_Regions,32,2097152,6.127,23.2912759983829,0.193
2,Fewer_Regions,64,4194304,11.69,23.2912760166627,0.101
3,Task_Based,1,65536,1.186,23.2912755963296,1.00
3,Task_Based,2,131072,1.328,23.2912756004623,0.893
3,Task_Based,4,262144,1.62,23.2912758884722,0.732
3,Task_Based,8,524288,2.235,23.2912758885992,0.531
3,Task_Based,16,1048576,3.512,23.2912759618112,0.338
3,Task_Based,32,2097152,6.15,23.2912759983829,0.193
3,Task_Based,64,4194304,11.66,23.2912760166627,0.102
4,SIMD_Optimized,1,65536,1.182,23.2912755963296,1.00
4,SIMD_Optimized,2,131072,1.327,23.2912756004623,0.891
4,SIMD_Optimized,4,262144,1.62,23.2912758884722,0.730
4,SIMD_Optimized,8,524288,2.224,23.2912758885992,0.531
4,SIMD_Optimized,16,1048576,3.473,23.2912759618112,0.340
4,SIMD_Optimized,32,2097152,6.167,23.2912759983829,0.192
4,SIMD_Optimized,64,4194304,11.64,23.2912760166627,0.102
5,Advanced_Scheduling,1,65536,1.183,23.2912755963296,1.00
5,Advanced_Scheduling,2,131072,1.329,23.2912756004623,0.890
5,Advanced_Scheduling,4,262144,1.626,23.2912758884722,0.728
5,Advanced_Scheduling,8,524288,2.235,23.2912758885992,0.529
5,Advanced_Scheduling,16,1048576,3.497,23.2912759618112,0.338
5,Advanced_Scheduling,32,2097152,6.117,23.2912759983829,0.193
5,Advanced_Scheduling,64,4194304,11.65,23.2912760166627,0.102
6,Sections_Based,1,65536,1.185,23.2912755963296,1.00
6,Sections_Based,2,131072,1.33,23.2912756004623,0.891
6,Sections_Based,4,262144,1.63,23.2912758884722,0.727
6,Sections_Based,8,524288,2.241,23.2912758885992,0.529
6,Sections_Based,16,1048576,3.524,23.2912759618112,0.336
6,Sections_Based,32,2097152,6.266,23.2912759983829,0.189
6,Sections_Based,64,4194304,11.78,23.2912760166627,0.101
