Strategy,Strategy_Name,FFT_Time_1T,NonFFT_Time_1T,Total_Time_1T,FFT_Time_64T,NonFFT_Time_64T,Total_Time_64T,NonFFT_Parallel_Fraction,FFT_Parallel_Fraction,NonFFT_R_Squared,FFT_R_Squared
0,Multiple_Regions,0.12632,1.0558,1.182,10.43,1.2398,11.672,,1.1102230246251565e-16,,-4.788499267756496
1,Fewer_Regions,0.12648,1.056,1.1826,10.424,1.238,11.664,1.1102230246251565e-16,1.1102230246251565e-16,-0.6281274392242309,-4.788169352820004
2,Task_Based,0.13182,1.0562,1.1878,10.474,1.2676,11.742,1.1102230246251565e-16,1.1102230246251565e-16,-0.6116101334545312,-4.707071717449251
3,SIMD_Optimized,0.12622,1.0558,1.1822,10.42,1.2402000000000002,11.662,,1.1102230246251565e-16,,-4.7945628926808075
4,Advanced_Scheduling,0.12832000000000002,1.0556,1.184,10.482000000000001,1.2384,11.72,1.1102230246251565e-16,1.1102230246251565e-16,-0.5413179895690867,-4.767270744351012
5,Sections_Based,0.12828,1.0552,1.1836,10.512,1.2662,11.778,,1.1102230246251565e-16,,-4.782386980938688
